Batch_ID,Harvest_Quantity_kg,Processing_Quantity_kg,Bottled_Quantity_kg,Dispatched_Quantity_kg,Anomaly
HC-BATCH-1176,336.48,320.82,310.38,299.99,0
HC-BATCH-1177,263.88,250.29,234.91,231.31,0
HC-BATCH-1178,271.04,248.97,243.92,227.88,0
HC-BATCH-1179,72.07,68.64,65.54,64.79,0
HC-BATCH-1180,341.44,332.42,325.06,288.84,0
HC-BATCH-1181,262.7,253.49,247.54,223.49,0
HC-BATCH-1182,82.84,75.73,72.0,67.54,0
HC-BATCH-1183,246.95,231.83,224.26,203.74,0
HC-BATCH-1184,352.26,327.95,308.97,299.77,0
HC-BATCH-1185,267.33,258.33,250.05,228.97,0
HC-BATCH-1186,351.56,341.03,321.62,309.8,0
HC-BATCH-1187,130.99,120.44,165.55,160.17,1
HC-BATCH-1188,455.54,436.15,406.08,378.88,0
HC-BATCH-1189,236.5,225.64,210.66,202.98,0
HC-BATCH-1190,380.39,369.08,364.75,326.7,0
HC-BATCH-1191,210.64,203.2,199.26,183.29,0
HC-BATCH-1192,485.46,465.5,441.03,419.6,0
HC-BATCH-1193,85.65,79.48,77.77,73.56,0
HC-BATCH-1194,402.31,387.96,372.61,360.15,0
HC-BATCH-1195,91.87,85.03,82.35,75.49,0
HC-BATCH-1196,115.51,109.41,104.99,102.38,0
HC-BATCH-1197,111.92,104.09,101.81,98.1,0
HC-BATCH-1198,377.85,352.14,338.91,319.04,0
HC-BATCH-1199,286.68,270.05,262.1,243.54,0
HC-BATCH-1200,484.82,468.91,457.7,410.38,0
HC-BATCH-1201,162.5,155.17,152.25,144.11,0
HC-BATCH-1202,272.7,265.0,255.94,239.68,0
HC-BATCH-1203,467.3,446.1,435.2,409.55,0
HC-BATCH-1204,288.88,281.35,275.2,250.66,0
HC-BATCH-1205,336.01,325.26,315.34,293.98,0
HC-BATCH-1206,394.62,373.5,360.01,328.67,0
HC-BATCH-1207,112.9,110.22,103.75,97.43,0
HC-BATCH-1208,473.71,453.34,646.02,593.21,1
HC-BATCH-1209,90.91,83.03,77.02,73.58,0
HC-BATCH-1210,445.1,434.55,402.39,377.57,0
HC-BATCH-1211,251.04,240.81,222.86,306.58,1
HC-BATCH-1212,318.72,290.51,283.27,257.56,0
HC-BATCH-1213,416.77,386.15,359.22,324.62,0
HC-BATCH-1214,158.37,154.24,143.45,134.17,0
HC-BATCH-1215,170.36,157.98,146.41,133.94,0
HC-BATCH-1216,186.27,176.46,168.55,151.73,0
HC-BATCH-1217,381.41,365.15,358.74,319.43,0
HC-BATCH-1218,155.37,151.35,204.57,194.2,1
HC-BATCH-1219,284.65,268.16,264.8,234.96,0
HC-BATCH-1220,50.76,49.48,47.39,45.79,0
HC-BATCH-1221,61.15,58.8,55.46,55.0,0
HC-BATCH-1222,243.45,231.42,223.51,209.16,0
HC-BATCH-1223,485.01,448.66,423.85,375.56,0
HC-BATCH-1224,178.79,172.7,166.22,153.3,0
HC-BATCH-1225,197.65,268.44,249.15,225.39,1
HC-BATCH-1226,431.61,406.5,392.84,375.95,0
HC-BATCH-1227,379.56,347.79,327.15,317.24,0
HC-BATCH-1228,56.26,53.31,50.74,48.75,0
HC-BATCH-1229,249.89,232.38,225.97,211.03,0
HC-BATCH-1230,366.48,334.75,325.32,426.46,1
HC-BATCH-1231,139.58,131.99,126.05,111.61,0
HC-BATCH-1232,444.37,414.17,400.04,371.03,0
HC-BATCH-1233,68.1,65.58,62.49,59.88,0
HC-BATCH-1234,82.64,77.85,77.06,77.02,0
HC-BATCH-1235,399.0,364.31,354.16,341.63,0
HC-BATCH-1236,456.77,433.11,423.76,402.53,0
HC-BATCH-1237,177.35,162.64,151.84,137.76,0
HC-BATCH-1238,298.07,279.25,274.93,258.71,0
HC-BATCH-1239,243.46,226.38,219.02,205.53,0
HC-BATCH-1240,288.97,275.87,254.81,236.87,0
HC-BATCH-1241,375.68,359.13,353.18,347.81,0
HC-BATCH-1242,365.53,339.7,312.77,310.82,0
HC-BATCH-1243,348.97,319.65,315.89,280.55,0
HC-BATCH-1244,397.78,375.74,365.52,354.99,0
HC-BATCH-1245,350.41,343.1,329.95,327.97,0
HC-BATCH-1246,92.92,90.94,86.7,132.16,1
HC-BATCH-1247,306.63,283.21,271.52,241.33,0
HC-BATCH-1248,432.31,418.29,387.92,386.09,0
HC-BATCH-1249,430.32,420.95,411.39,392.31,0
HC-BATCH-1250,317.77,304.19,284.86,254.77,0
HC-BATCH-1251,252.49,241.79,228.28,224.94,0
HC-BATCH-1252,75.28,71.18,67.03,62.62,0
HC-BATCH-1253,177.28,165.03,158.61,158.59,0
HC-BATCH-1254,98.17,93.14,87.46,83.31,0
HC-BATCH-1255,261.23,245.77,229.28,203.18,0
HC-BATCH-1256,495.29,472.9,453.5,436.34,0
HC-BATCH-1257,285.16,268.49,255.33,251.05,0
HC-BATCH-1258,198.34,182.19,172.12,165.21,0
HC-BATCH-1259,347.53,338.97,321.94,304.35,0
HC-BATCH-1260,230.35,211.91,204.35,180.58,0
HC-BATCH-1261,199.63,182.28,174.66,170.75,0
HC-BATCH-1262,162.54,157.53,147.12,136.26,0
HC-BATCH-1263,407.7,380.68,375.25,364.22,0
HC-BATCH-1264,254.18,248.27,243.63,222.09,0
HC-BATCH-1265,179.87,165.25,160.0,154.23,0
HC-BATCH-1266,116.4,113.26,104.22,102.45,0
HC-BATCH-1267,377.38,363.59,343.82,319.09,0
HC-BATCH-1268,401.59,366.43,338.84,329.83,0
HC-BATCH-1269,173.04,167.58,165.67,150.64,0
HC-BATCH-1270,129.06,120.88,117.16,110.13,0
HC-BATCH-1271,236.72,230.9,220.63,215.88,0
HC-BATCH-1272,472.1,439.84,416.25,405.84,0
HC-BATCH-1273,404.32,370.99,363.96,357.78,0
HC-BATCH-1274,183.93,171.1,159.89,154.23,0
HC-BATCH-1275,202.14,192.27,179.99,163.15,0
HC-BATCH-1276,160.93,152.73,142.92,142.46,0
HC-BATCH-1277,336.7,312.57,303.78,287.44,0
HC-BATCH-1278,460.95,425.11,417.35,376.07,0
HC-BATCH-1279,359.62,327.92,312.58,311.34,0
HC-BATCH-1280,440.81,416.28,408.41,387.54,0
HC-BATCH-1281,84.72,82.1,76.11,74.02,0
HC-BATCH-1282,252.01,245.63,235.69,225.38,0
HC-BATCH-1283,345.53,319.86,296.69,291.18,0
HC-BATCH-1284,380.21,371.69,348.98,340.95,0
HC-BATCH-1285,106.01,99.2,97.44,94.44,0
HC-BATCH-1286,121.86,113.69,109.19,100.18,0
HC-BATCH-1287,95.86,92.42,90.53,86.19,0
HC-BATCH-1288,228.1,212.53,200.58,184.53,0
HC-BATCH-1289,372.81,341.88,332.98,293.23,0
HC-BATCH-1290,118.86,109.53,103.24,99.64,0
HC-BATCH-1291,229.73,212.58,210.42,198.04,0
HC-BATCH-1292,253.2,234.46,221.27,206.76,0
HC-BATCH-1293,162.41,158.29,150.54,148.04,0
HC-BATCH-1294,434.88,414.46,396.01,370.48,0
HC-BATCH-1295,377.54,467.8,430.49,380.01,1
HC-BATCH-1296,205.5,195.46,188.57,175.54,0
HC-BATCH-1297,420.5,384.83,380.24,363.92,0
HC-BATCH-1298,146.41,134.59,132.64,125.81,0
HC-BATCH-1299,338.67,317.66,314.06,296.58,0
HC-BATCH-1300,192.67,180.03,177.39,173.03,0
HC-BATCH-1301,275.26,253.93,249.84,245.96,0
HC-BATCH-1302,420.73,409.65,385.54,358.16,0
HC-BATCH-1303,96.17,93.21,91.31,83.48,0
HC-BATCH-1304,218.51,212.48,277.71,274.95,1
HC-BATCH-1305,244.68,238.26,220.12,196.99,0
HC-BATCH-1306,414.42,396.03,373.26,349.77,0
HC-BATCH-1307,375.48,352.09,505.52,490.1,1
HC-BATCH-1308,429.28,413.96,387.48,342.47,0
HC-BATCH-1309,436.84,399.69,374.37,359.5,0
HC-BATCH-1310,311.7,293.97,281.38,261.98,0
HC-BATCH-1311,84.87,78.93,74.12,68.07,0
HC-BATCH-1312,173.06,158.96,153.77,142.32,0
HC-BATCH-1313,248.92,231.28,225.0,201.07,0
HC-BATCH-1314,224.14,212.78,199.66,181.94,0
HC-BATCH-1315,315.58,306.39,300.63,280.44,0
HC-BATCH-1316,57.4,54.3,50.88,45.65,0
HC-BATCH-1317,219.04,209.79,289.85,273.83,1
HC-BATCH-1318,204.05,190.75,185.8,179.58,0
HC-BATCH-1319,190.38,182.27,179.91,166.88,0
HC-BATCH-1320,477.85,468.28,452.85,413.15,0
HC-BATCH-1321,163.52,149.74,137.96,130.33,0
HC-BATCH-1322,342.91,330.51,320.75,290.54,0
HC-BATCH-1323,161.48,151.9,144.42,136.15,0
HC-BATCH-1324,185.43,175.85,161.79,147.95,0
HC-BATCH-1325,246.13,224.48,211.8,203.65,0
HC-BATCH-1326,116.64,107.18,100.92,99.7,0
HC-BATCH-1327,216.74,205.75,193.89,181.48,0
HC-BATCH-1328,297.65,271.92,269.19,263.89,0
HC-BATCH-1329,300.1,288.18,268.25,245.61,0
HC-BATCH-1330,223.34,212.25,199.05,192.09,0
HC-BATCH-1331,164.29,152.44,140.35,137.06,0
HC-BATCH-1332,115.11,105.8,99.19,89.36,0
HC-BATCH-1333,468.87,454.21,438.54,427.56,0
HC-BATCH-1334,446.73,414.15,394.49,376.04,0
HC-BATCH-1335,280.96,374.44,346.0,323.68,1
HC-BATCH-1336,242.77,227.22,217.09,199.93,0
HC-BATCH-1337,292.89,425.2,414.28,371.53,1
HC-BATCH-1338,254.46,242.98,324.02,319.71,1
HC-BATCH-1339,480.75,448.81,415.82,370.75,0
HC-BATCH-1340,202.35,193.95,187.26,183.93,0
HC-BATCH-1341,112.14,103.67,97.74,93.78,0
HC-BATCH-1342,218.44,201.11,198.01,175.84,0
HC-BATCH-1343,68.86,67.16,64.21,64.13,0
HC-BATCH-1344,141.81,135.07,127.22,122.92,0
HC-BATCH-1345,216.74,203.96,201.21,197.72,0
HC-BATCH-1346,257.76,239.65,226.88,214.01,0
HC-BATCH-1347,384.02,353.61,335.59,299.31,0
HC-BATCH-1348,117.89,107.79,99.95,98.74,0
HC-BATCH-1349,393.4,365.51,359.43,322.65,0
HC-BATCH-1350,358.44,339.39,327.59,304.92,0
HC-BATCH-1351,204.55,196.37,187.6,168.97,0
HC-BATCH-1352,276.91,266.81,250.69,250.36,0
HC-BATCH-1353,297.15,289.7,275.41,265.44,0
HC-BATCH-1354,129.04,118.62,113.61,113.22,0
HC-BATCH-1355,347.48,316.83,291.81,284.46,0
HC-BATCH-1356,471.47,460.79,453.8,447.09,0
HC-BATCH-1357,149.2,141.93,138.62,122.09,0
HC-BATCH-1358,408.26,396.11,389.35,352.44,0
HC-BATCH-1359,81.15,78.17,76.11,68.15,0
HC-BATCH-1360,237.1,219.19,208.1,205.72,0
HC-BATCH-1361,200.01,190.17,176.84,163.04,0
HC-BATCH-1362,372.93,344.68,332.41,303.05,0
HC-BATCH-1363,393.4,371.72,355.38,334.0,0
HC-BATCH-1364,61.94,57.23,55.26,52.24,0
HC-BATCH-1365,498.25,471.86,466.19,458.4,0
HC-BATCH-1366,246.86,241.0,225.47,210.62,0
HC-BATCH-1367,247.15,233.86,217.13,196.93,0
HC-BATCH-1368,191.95,178.27,166.64,165.5,0
HC-BATCH-1369,322.44,295.66,286.53,281.47,0
HC-BATCH-1370,393.13,372.59,363.09,342.63,0
HC-BATCH-1371,454.41,427.67,396.08,380.96,0
HC-BATCH-1372,320.18,299.25,287.42,260.27,0
HC-BATCH-1373,348.91,325.57,306.68,301.09,0
HC-BATCH-1374,180.7,168.08,163.04,150.25,0
HC-BATCH-1375,215.4,207.51,199.25,194.64,0
HC-BATCH-1376,62.77,57.32,55.31,52.5,0
HC-BATCH-1377,269.84,262.66,257.2,229.18,0
HC-BATCH-1378,162.33,149.01,144.76,136.06,0
HC-BATCH-1379,91.1,89.04,87.13,82.69,0
HC-BATCH-1380,355.73,347.44,323.12,307.9,0
HC-BATCH-1381,197.72,191.89,189.53,173.13,0
HC-BATCH-1382,421.11,397.41,388.05,376.25,0
HC-BATCH-1383,211.4,198.27,185.04,165.55,0
HC-BATCH-1384,355.58,347.19,328.46,319.12,0
HC-BATCH-1385,476.45,449.79,420.94,377.38,0
HC-BATCH-1386,432.98,578.98,540.48,482.93,1
HC-BATCH-1387,94.71,90.73,86.93,86.7,0
HC-BATCH-1388,343.29,330.52,326.05,294.72,0
HC-BATCH-1389,154.16,147.91,143.36,133.97,0
HC-BATCH-1390,185.52,169.44,160.86,156.88,0
HC-BATCH-1391,290.31,270.47,264.14,247.31,0
HC-BATCH-1392,339.21,309.3,304.67,298.44,0
HC-BATCH-1393,143.22,132.5,129.97,119.5,0
HC-BATCH-1394,330.02,300.94,285.17,270.26,0
HC-BATCH-1395,350.21,319.8,303.06,288.49,0
HC-BATCH-1396,470.56,554.14,546.03,482.59,1
HC-BATCH-1397,367.89,336.43,319.11,301.6,0
HC-BATCH-1398,495.51,461.51,444.65,423.82,0
HC-BATCH-1399,248.97,230.29,219.49,216.89,0
HC-BATCH-1400,162.29,148.85,145.07,143.05,0
HC-BATCH-1401,360.77,344.61,328.88,320.71,0
HC-BATCH-1402,418.27,387.56,380.33,587.34,1
HC-BATCH-1403,273.89,266.96,255.31,249.22,0
HC-BATCH-1404,69.04,62.92,61.94,60.92,0
HC-BATCH-1405,328.16,317.74,312.78,278.55,0
HC-BATCH-1406,202.92,184.74,181.21,171.78,0
HC-BATCH-1407,201.37,194.92,186.59,180.07,0
HC-BATCH-1408,291.3,284.93,269.69,255.19,0
HC-BATCH-1409,242.46,220.8,204.3,201.43,0
HC-BATCH-1410,327.05,311.05,291.45,279.9,0
HC-BATCH-1411,263.6,244.66,229.32,219.35,0
HC-BATCH-1412,353.29,328.22,317.17,297.59,0
HC-BATCH-1413,406.44,381.87,353.02,326.82,0
HC-BATCH-1414,460.21,438.96,416.97,562.18,1
HC-BATCH-1415,488.43,463.39,448.94,401.87,0
HC-BATCH-1416,82.86,77.86,75.45,103.1,1
HC-BATCH-1417,339.49,325.41,313.27,282.91,0
HC-BATCH-1418,473.48,446.7,436.67,405.27,0
HC-BATCH-1419,405.85,385.45,545.43,491.46,1
HC-BATCH-1420,352.55,335.25,327.73,325.38,0
HC-BATCH-1421,377.19,345.33,332.27,325.19,0
HC-BATCH-1422,453.67,439.1,419.81,497.35,1
HC-BATCH-1423,486.05,473.82,464.06,417.63,0
HC-BATCH-1424,312.59,288.19,277.82,265.14,0
HC-BATCH-1425,106.67,101.29,93.67,91.03,0
HC-BATCH-1426,475.44,434.09,423.16,416.41,0
HC-BATCH-1427,271.28,248.6,234.77,215.99,0
HC-BATCH-1428,303.79,281.08,272.36,264.74,0
HC-BATCH-1429,267.89,257.37,254.37,239.86,0
HC-BATCH-1430,462.23,426.5,409.86,391.9,0
HC-BATCH-1431,424.11,408.83,399.28,359.3,0
HC-BATCH-1432,424.3,388.88,360.4,349.1,0
HC-BATCH-1433,485.27,468.93,443.42,432.28,0
HC-BATCH-1434,496.52,483.56,460.49,411.72,0
HC-BATCH-1435,292.18,275.77,262.12,253.66,0
HC-BATCH-1436,205.71,200.74,197.26,193.61,0
HC-BATCH-1437,83.34,79.51,73.45,65.95,0
HC-BATCH-1438,170.35,157.17,152.33,139.7,0
HC-BATCH-1439,295.76,281.63,263.45,238.77,0
HC-BATCH-1440,134.89,129.34,124.17,112.75,0
HC-BATCH-1441,258.35,248.1,322.14,298.14,1
HC-BATCH-1442,128.79,124.22,118.32,114.0,0
HC-BATCH-1443,462.26,430.2,414.29,512.75,1
HC-BATCH-1444,225.7,212.81,205.25,204.78,0
HC-BATCH-1445,394.47,359.86,347.7,485.38,1
HC-BATCH-1446,463.84,454.47,430.74,404.66,0
HC-BATCH-1447,293.98,285.86,280.03,270.35,0
HC-BATCH-1448,250.82,245.74,230.99,228.67,0
HC-BATCH-1449,238.65,226.92,217.07,215.37,0
HC-BATCH-1450,308.26,291.94,276.72,265.08,0
HC-BATCH-1451,422.95,639.14,597.05,563.85,1
HC-BATCH-1452,129.15,126.19,120.67,106.92,0
HC-BATCH-1453,431.37,410.78,401.13,388.12,0
HC-BATCH-1454,163.13,149.83,139.86,125.08,0
HC-BATCH-1455,347.19,319.76,298.07,264.99,0
HC-BATCH-1456,491.07,475.01,468.75,457.76,0
HC-BATCH-1457,272.47,252.6,243.99,214.87,0
HC-BATCH-1458,93.74,91.13,84.71,79.16,0
HC-BATCH-1459,451.14,429.88,417.13,392.34,0
HC-BATCH-1460,216.52,207.97,202.64,192.13,0
HC-BATCH-1461,207.31,189.04,174.62,164.18,0
HC-BATCH-1462,269.97,262.66,249.84,292.88,1
HC-BATCH-1463,430.02,398.64,383.18,361.29,0
HC-BATCH-1464,61.83,58.66,55.48,54.17,0
HC-BATCH-1465,222.87,212.41,199.11,195.89,0
HC-BATCH-1466,231.08,215.07,199.78,185.89,0
HC-BATCH-1467,140.52,130.94,129.59,124.15,0
HC-BATCH-1468,249.07,231.12,220.38,199.28,0
HC-BATCH-1469,302.62,280.95,269.97,266.66,0
HC-BATCH-1470,331.03,321.26,309.66,278.11,0
HC-BATCH-1471,80.73,75.96,71.49,65.27,0
HC-BATCH-1472,156.1,152.92,144.7,127.83,0
HC-BATCH-1473,121.27,115.03,110.27,98.27,0
HC-BATCH-1474,371.76,340.28,329.51,314.77,0
HC-BATCH-1475,170.07,162.39,150.67,140.45,0
HC-BATCH-1476,473.16,453.01,445.4,424.85,0
HC-BATCH-1477,111.67,104.22,99.34,92.87,0
HC-BATCH-1478,295.46,275.51,255.01,244.63,0
