Date,Environmental Temperature (°C),Relative Humidity (%),Hive Temperature (°C),Hive Humidity (%),Wind Speed (km/h),Honey Weight (kg),Total Weight (Hive + Bees + Honey) (kg),Extract Honey
"February 11, 2024",26.13,84.75,32.36,53.06,9.63,11.67,36.67,False
"February 12, 2024",27.43,85.63,30.42,63.04,3.94,11.85,36.85,False
"February 13, 2024",25.11,87.14,32.97,62.02,0.04,12.22,37.22,False
"February 14, 2024",30.87,65.52,30.44,68.77,8.37,12.6,37.6,False
"February 15, 2024",26.07,66.93,34.81,59.38,9.5,12.88,37.88,False
"February 16, 2024",29.63,70.03,34.49,62.43,7.91,13.21,38.21,False
"February 17, 2024",21.49,75.33,34.45,50.98,7.15,13.52,38.52,False
"February 18, 2024",20.5,70.84,33.84,52.22,4.43,13.75,38.75,False
"February 19, 2024",27.51,69.33,34.81,61.19,5.5,14.04,39.04,False
"February 20, 2024",22.34,70.95,34.31,57.03,1.45,14.21,39.21,False
"February 21, 2024",28.83,67.79,30.36,68.43,5.51,14.53,39.53,False
"February 22, 2024",30.79,87.82,30.7,50.28,1.0,14.83,39.83,False
"February 23, 2024",22.42,85.28,30.02,68.26,9.24,15.12,40.12,False
"February 24, 2024",30.57,66.44,31.87,50.33,9.42,15.35,40.35,False
"February 25, 2024",24.69,83.81,32.89,58.64,4.05,15.72,40.72,False
"February 26, 2024",27.46,75.03,31.04,53.71,3.85,16.07,41.07,False
"February 27, 2024",20.08,85.8,32.02,53.75,9.35,16.26,41.26,False
"February 28, 2024",24.46,69.04,33.45,64.39,3.04,16.66,41.66,False
"March 1, 2024",30.34,74.34,34.43,63.56,2.43,17.05,42.05,False
"March 2, 2024",27.21,73.77,32.6,69.37,9.1,17.44,42.44,False
"March 3, 2024",27.18,65.25,34.7,52.15,8.27,17.63,42.63,False
"March 4, 2024",23.53,71.84,34.24,64.47,3.86,18.02,43.02,False
"March 5, 2024",25.33,79.29,32.29,64.64,2.16,18.29,43.29,False
"March 6, 2024",24.34,85.97,33.85,68.61,2.31,18.47,43.47,False
"March 7, 2024",22.16,74.35,30.62,61.2,7.99,18.65,43.65,False
"March 8, 2024",26.32,68.55,31.69,59.25,1.31,18.95,43.95,False
"March 9, 2024",19.42,87.11,33.97,57.98,4.82,19.25,44.25,False
"March 10, 2024",29.21,88.86,31.62,55.89,1.93,19.64,44.64,False
"March 11, 2024",30.89,80.31,32.53,61.54,2.31,19.95,44.95,False
"March 12, 2024",18.86,72.02,34.25,61.88,3.11,20.22,45.22,False
"March 13, 2024",24.89,80.64,31.34,52.15,7.37,20.4,45.4,False
"March 14, 2024",23.96,87.11,31.4,62.54,0.03,20.69,45.69,False
"March 15, 2024",22.49,85.5,34.24,69.59,2.92,21.06,46.06,False
"March 16, 2024",29.25,75.72,32.7,69.21,8.8,21.25,46.25,False
"March 17, 2024",27.53,74.43,33.57,67.28,2.09,21.62,46.62,False
"March 18, 2024",22.33,67.85,33.47,68.67,2.15,22.01,47.01,False
"March 19, 2024",18.74,74.23,34.29,67.08,9.97,22.26,47.26,False
"March 20, 2024",23.24,86.12,30.78,58.32,0.31,22.65,47.65,False
"March 21, 2024",25.11,66.47,33.1,51.55,4.33,22.89,47.89,False
"March 22, 2024",29.7,69.43,34.64,67.07,1.4,23.28,48.28,False
"March 23, 2024",30.4,88.7,34.61,56.9,1.66,23.54,48.54,False
"March 24, 2024",22.13,88.13,31.86,50.98,8.35,23.76,48.76,False
"March 25, 2024",30.91,73.94,34.88,68.38,4.15,24.01,49.01,False
"March 26, 2024",20.99,88.39,32.6,56.1,4.71,24.39,49.39,False
"March 27, 2024",18.89,76.49,32.53,69.2,1.45,24.57,49.57,False
"March 28, 2024",28.8,80.42,30.21,56.5,7.98,24.77,49.77,False
"March 29, 2024",24.54,84.66,34.49,54.07,8.05,25.17,50.17,False
"March 30, 2024",21.68,83.63,30.78,58.47,5.12,25.56,50.56,False
"March 31, 2024",24.91,70.6,31.67,57.76,0.78,25.92,50.92,False
"April 1, 2024",19.82,80.9,34.54,55.42,4.41,26.13,51.13,False
"April 2, 2024",28.12,65.4,31.36,54.92,7.97,26.3,51.3,False
"April 3, 2024",25.18,87.98,34.05,66.19,2.99,26.49,51.49,False
"April 4, 2024",27.3,68.54,30.28,50.84,4.0,26.81,51.81,False
"April 5, 2024",29.8,66.43,34.52,66.06,7.09,27.21,52.21,False
"April 6, 2024",28.91,80.13,32.81,57.94,6.57,27.56,52.56,False
"April 7, 2024",21.33,87.72,32.92,50.71,5.67,27.96,52.96,False
"April 8, 2024",19.92,73.45,30.2,59.86,0.97,28.32,53.32,False
"April 9, 2024",26.34,81.68,31.4,66.65,7.55,28.55,53.55,False
"April 10, 2024",28.26,70.63,33.13,50.29,5.57,28.89,53.89,False
"April 11, 2024",27.21,80.11,34.78,53.91,7.33,29.21,54.21,False
"April 12, 2024",20.7,69.15,32.31,54.92,0.99,29.41,54.41,False
"April 13, 2024",30.69,72.84,31.29,63.51,1.44,29.78,54.78,False
"April 14, 2024",23.09,71.27,33.58,54.39,3.64,30.12,55.12,False
"April 15, 2024",28.73,85.69,33.76,66.99,5.5,30.32,55.32,False
"April 16, 2024",20.47,84.81,31.85,66.6,9.42,30.56,55.56,False
"April 17, 2024",21.4,69.07,30.57,69.79,9.62,30.76,55.76,False
"April 18, 2024",25.47,89.74,34.37,58.36,2.22,31.11,56.11,False
"April 19, 2024",19.27,67.32,31.51,59.55,2.55,31.44,56.44,False
"April 20, 2024",19.0,73.97,33.4,56.67,1.06,31.73,56.73,False
"April 21, 2024",29.08,68.55,31.03,65.4,9.35,31.93,56.93,False
"April 22, 2024",27.57,79.58,33.64,53.01,7.92,32.27,57.27,False
"April 23, 2024",26.57,82.02,34.75,57.81,5.36,32.47,57.47,False
"April 24, 2024",27.49,81.54,32.17,50.32,1.09,32.7,57.7,False
"April 25, 2024",23.07,83.7,30.3,53.53,9.33,32.98,57.98,False
"April 26, 2024",28.43,78.31,34.78,60.7,1.85,33.25,58.25,False
"April 27, 2024",23.66,83.87,32.99,58.51,6.07,33.64,58.64,False
"April 28, 2024",18.14,79.58,32.84,59.08,0.19,33.94,58.94,False
"April 29, 2024",21.35,78.27,32.71,53.65,9.25,34.25,59.25,False
"April 30, 2024",20.05,66.14,34.19,50.06,9.24,5.0,59.5,True
"May 1, 2024",24.28,84.23,33.93,63.05,5.37,5.42,30.42,False
"May 2, 2024",18.12,65.21,32.7,58.28,3.59,5.75,30.75,False
"May 3, 2024",30.75,80.66,33.44,65.04,6.14,6.36,31.36,False
"May 4, 2024",27.68,82.43,34.09,55.06,1.99,6.89,31.89,False
"May 5, 2024",24.19,65.47,32.15,66.85,4.87,7.36,32.36,False
"May 6, 2024",25.48,65.42,34.1,68.72,6.1,7.84,32.84,False
"May 7, 2024",27.09,75.29,32.78,55.38,5.65,8.39,33.39,False
"May 8, 2024",21.38,88.32,34.9,53.6,0.44,8.72,33.72,False
"May 9, 2024",21.37,83.98,32.7,58.22,8.74,9.38,34.38,False
"May 10, 2024",18.54,83.43,34.04,62.13,1.43,9.97,34.97,False
"May 11, 2024",20.97,83.76,30.91,56.87,7.52,10.29,35.29,False
"May 12, 2024",21.85,81.31,32.08,66.77,7.79,10.81,35.81,False
"May 13, 2024",24.9,68.09,31.39,63.92,5.18,11.42,36.42,False
"May 14, 2024",18.19,79.51,33.68,55.26,4.67,11.79,36.79,False
"May 15, 2024",18.89,82.17,30.2,51.6,1.78,12.4,37.4,False
"May 16, 2024",23.98,74.56,30.76,50.9,8.84,12.96,37.96,False
"May 17, 2024",21.64,73.77,32.09,59.82,1.28,13.46,38.46,False
"May 18, 2024",27.11,81.26,34.68,53.83,6.57,13.82,38.82,False
"May 19, 2024",21.33,72.77,34.01,51.56,1.7,14.16,39.16,False
"May 20, 2024",30.42,75.64,30.99,61.78,9.9,14.8,39.8,False
"May 21, 2024",20.2,65.8,34.67,53.6,7.15,15.12,40.12,False
"May 22, 2024",25.22,78.22,33.4,52.68,6.08,15.48,40.48,False
"May 23, 2024",23.31,80.82,31.25,66.42,5.4,16.18,41.18,False
"May 24, 2024",20.56,81.99,30.08,57.35,9.89,16.82,41.82,False
"May 25, 2024",24.99,77.75,33.71,51.46,5.05,17.45,42.45,False
"May 26, 2024",25.74,70.45,31.3,61.07,6.27,17.85,42.85,False
"May 27, 2024",24.56,70.35,32.17,67.47,7.09,18.16,43.16,False
"May 28, 2024",29.77,80.54,33.48,57.6,6.74,18.82,43.82,False
"May 29, 2024",30.49,84.75,34.7,60.0,0.06,19.33,44.33,False
"May 30, 2024",18.12,86.07,33.72,60.59,2.55,20.03,45.03,False
"May 31, 2024",20.69,83.73,33.36,57.21,6.98,20.54,45.54,False
"June 1, 2024",19.71,83.39,34.6,67.8,8.65,21.23,46.23,False
"June 2, 2024",26.58,87.48,31.77,63.72,0.22,21.96,46.96,False
"June 3, 2024",29.72,68.62,32.83,53.83,3.94,22.67,47.67,False
"June 4, 2024",20.76,66.54,32.76,58.02,0.2,23.4,48.4,False
"June 5, 2024",19.74,87.32,31.07,50.94,9.92,23.9,48.9,False
"June 6, 2024",24.17,71.29,34.82,58.91,8.95,24.4,49.4,False
"June 7, 2024",28.12,80.99,31.78,66.4,9.4,24.87,49.87,False
"June 8, 2024",21.44,77.44,31.17,57.97,6.36,25.6,50.6,False
"June 9, 2024",25.39,77.51,30.72,53.3,1.39,26.26,51.26,False
"June 10, 2024",19.69,84.02,30.93,63.19,9.12,26.79,51.79,False
"June 11, 2024",18.78,89.29,31.27,53.42,3.68,27.47,52.47,False
"June 12, 2024",26.84,74.17,33.07,69.67,3.04,28.1,53.1,False
"June 13, 2024",21.58,84.51,34.96,63.89,8.22,28.77,53.77,False
"June 14, 2024",30.82,65.04,30.02,53.98,8.53,29.34,54.34,False
"June 15, 2024",18.57,81.88,31.62,66.63,4.81,29.75,54.75,False
"June 16, 2024",25.03,88.83,31.78,54.29,4.15,30.19,55.19,False
"June 17, 2024",18.23,89.34,34.91,59.19,4.37,30.78,55.78,False
"June 18, 2024",25.26,77.05,32.15,52.61,0.44,31.15,56.15,False
"June 19, 2024",20.81,82.81,30.62,52.38,9.23,31.73,56.73,False
"June 20, 2024",24.62,80.06,33.59,58.91,1.1,32.1,57.1,False
"June 21, 2024",21.79,71.18,32.22,57.05,1.95,32.66,57.66,False
"June 22, 2024",29.01,70.47,31.69,60.67,4.08,33.26,58.26,False
"June 23, 2024",27.19,70.42,30.37,67.17,5.75,33.75,58.75,False
"June 24, 2024",19.13,78.34,31.14,58.71,0.1,34.1,59.1,False
"June 25, 2024",26.72,73.48,33.24,59.36,6.53,34.83,59.83,False
"June 26, 2024",22.7,71.66,34.31,62.85,9.37,35.18,60.18,False
"June 27, 2024",21.73,88.9,32.47,61.21,3.15,35.57,60.57,False
"June 28, 2024",24.78,88.93,34.23,66.59,4.45,36.02,61.02,False
"June 29, 2024",20.86,78.89,33.16,67.54,4.05,36.65,61.65,False
"June 30, 2024",24.18,73.37,34.33,63.86,3.61,37.11,62.11,False
"July 1, 2024",18.66,82.4,32.67,62.3,1.13,37.48,62.48,False
"July 2, 2024",20.98,88.89,32.48,51.28,7.11,37.97,62.97,False
"July 3, 2024",23.87,70.3,31.02,50.84,3.09,38.66,63.66,False
"July 4, 2024",19.92,66.52,30.47,67.75,2.75,39.11,64.11,False
"July 5, 2024",22.14,65.97,30.93,68.92,1.06,39.82,64.82,False
"July 6, 2024",22.17,85.2,30.31,59.86,4.15,40.49,65.49,False
"July 7, 2024",23.55,73.78,31.09,69.05,1.09,41.06,66.06,False
"July 8, 2024",29.29,67.91,31.08,68.06,2.38,41.48,66.48,False
"July 9, 2024",20.47,88.94,33.71,59.66,5.0,42.15,67.15,False
"July 10, 2024",30.29,65.53,33.63,63.35,8.33,42.49,67.49,False
"July 11, 2024",24.76,65.52,33.06,66.59,9.03,42.92,67.92,False
"July 12, 2024",28.48,70.27,30.48,58.07,7.94,43.39,68.39,False
"July 13, 2024",30.55,72.52,34.22,66.7,6.36,43.91,68.91,False
"July 14, 2024",23.28,83.12,31.69,57.56,2.78,44.47,69.47,False
"July 15, 2024",27.3,85.91,31.09,69.54,3.09,45.01,70.01,False
"July 16, 2024",26.16,75.53,33.14,56.95,8.72,45.55,70.55,False
"July 17, 2024",29.43,72.66,31.27,61.28,1.8,45.98,70.98,False
"July 18, 2024",26.71,87.18,31.61,51.38,6.32,46.57,71.57,False
"July 19, 2024",22.61,66.58,33.93,69.59,8.02,47.27,72.27,False
"July 20, 2024",23.9,65.33,34.61,59.43,8.4,47.74,72.74,False
"July 21, 2024",21.49,85.79,33.19,54.77,7.04,48.11,73.11,False
"July 22, 2024",23.37,76.91,31.14,51.91,4.78,48.49,73.49,False
"July 23, 2024",21.75,65.97,31.71,67.62,3.73,48.94,73.94,False
"July 24, 2024",18.16,70.58,35.0,59.27,7.71,49.29,74.29,False
"July 25, 2024",23.79,66.84,31.24,68.67,7.47,49.73,74.73,False
"July 26, 2024",21.85,65.56,33.9,56.02,3.34,50.27,75.27,False
"July 27, 2024",30.81,82.91,33.57,51.13,9.89,50.81,75.81,False
"July 28, 2024",20.36,73.6,30.61,56.29,1.65,51.16,76.16,False
"July 29, 2024",26.83,84.44,33.18,66.89,7.56,51.53,76.53,False
"July 30, 2024",23.25,76.57,31.85,58.1,7.73,51.89,76.89,False
"July 31, 2024",21.83,82.17,34.89,68.35,3.88,52.41,77.41,False
"August 1, 2024",24.51,73.85,34.77,56.18,8.01,52.88,77.88,False
"August 2, 2024",30.8,69.33,33.74,69.11,3.2,53.54,78.54,False
"August 3, 2024",23.73,72.07,30.03,50.79,3.21,53.87,78.87,False
"August 4, 2024",22.99,72.93,34.41,52.91,3.71,54.24,79.24,False
"August 5, 2024",25.95,79.55,31.24,68.07,1.19,54.69,79.69,False
"August 6, 2024",29.29,86.87,30.23,61.75,1.01,55.36,80.36,False
"August 7, 2024",22.96,84.31,33.69,62.9,2.2,55.71,80.71,False
"August 8, 2024",27.57,75.74,30.36,57.27,0.8,56.43,81.43,False
"August 9, 2024",27.55,84.9,34.43,50.41,6.14,56.77,81.77,False
"August 10, 2024",28.91,83.25,31.51,56.59,5.06,57.11,82.11,False
"August 11, 2024",25.14,87.72,30.6,64.49,0.99,57.42,82.42,False
"August 12, 2024",18.15,65.49,34.15,67.55,3.71,57.91,82.91,False
"August 13, 2024",22.5,87.05,32.21,58.19,9.05,58.66,83.66,False
"August 14, 2024",26.26,66.7,31.29,59.35,5.11,59.32,84.32,False
"August 15, 2024",27.62,65.99,31.56,63.2,9.73,59.66,84.66,False
"August 16, 2024",29.48,76.89,30.99,61.5,0.2,60.09,85.09,False
"August 17, 2024",24.0,67.97,31.26,60.02,0.64,60.49,85.49,False
"August 18, 2024",20.51,73.61,30.45,52.63,0.76,60.97,85.97,False
"August 19, 2024",25.93,80.03,33.22,60.18,4.73,61.31,86.31,False
"August 20, 2024",19.14,70.2,33.73,61.1,6.52,61.67,86.67,False
"August 21, 2024",29.27,78.05,32.03,63.09,6.69,62.28,87.28,False
"August 22, 2024",29.6,78.81,32.56,58.69,6.5,62.91,87.91,False
"August 23, 2024",23.63,86.2,31.39,57.1,3.28,63.48,88.48,False
"August 24, 2024",20.19,85.18,33.92,61.45,5.58,64.02,89.02,False
"August 25, 2024",30.57,72.54,31.62,69.17,6.31,64.68,89.68,False
"August 26, 2024",26.83,84.11,31.3,58.57,9.57,65.19,90.19,False
"August 27, 2024",20.31,85.51,30.8,55.9,5.22,65.55,90.55,False
"August 28, 2024",22.68,83.64,33.02,62.51,1.92,65.87,90.87,False
"August 29, 2024",23.71,83.5,31.3,59.55,1.54,66.38,91.38,False
"August 30, 2024",25.92,68.8,34.52,50.22,6.19,66.92,91.92,False
"August 31, 2024",18.81,89.02,32.79,56.46,2.76,5.0,92.49,True
"September 1, 2024",25.82,83.18,34.51,63.98,7.11,5.13,30.13,False
"September 2, 2024",28.48,71.94,31.78,63.67,5.6,5.22,30.22,False
"September 3, 2024",24.89,72.5,32.23,58.54,4.25,5.3,30.3,False
"September 4, 2024",23.95,86.13,31.85,60.97,8.59,5.44,30.44,False
"September 5, 2024",30.01,78.11,34.55,61.83,0.58,5.53,30.53,False
"September 6, 2024",21.04,79.86,34.18,56.41,2.63,5.63,30.63,False
"September 7, 2024",27.21,68.2,30.51,69.49,5.6,5.72,30.72,False
"September 8, 2024",27.36,81.06,31.99,63.95,4.06,5.83,30.83,False
"September 9, 2024",21.18,67.73,34.31,55.38,2.64,5.95,30.95,False
"September 10, 2024",29.75,85.02,33.23,64.42,3.24,6.02,31.02,False
"September 11, 2024",21.67,83.83,31.24,64.02,0.1,6.16,31.16,False
"September 12, 2024",24.64,85.14,34.18,69.02,8.77,6.24,31.24,False
"September 13, 2024",26.51,67.24,34.8,54.84,3.09,6.33,31.33,False
"September 14, 2024",24.31,76.89,34.76,51.19,2.54,6.46,31.46,False
"September 15, 2024",29.65,80.24,30.24,67.73,0.51,6.59,31.59,False
"September 16, 2024",30.22,65.63,33.9,50.35,4.15,6.71,31.71,False
"September 17, 2024",24.22,86.15,33.11,51.79,8.54,6.77,31.77,False
"September 18, 2024",26.01,77.73,33.58,60.96,0.78,6.91,31.91,False
"September 19, 2024",27.4,69.26,34.08,61.59,3.48,7.04,32.04,False
"September 20, 2024",22.38,65.51,33.33,56.51,6.98,7.13,32.13,False
"September 21, 2024",24.1,83.47,31.12,69.43,6.34,7.26,32.26,False
"September 22, 2024",19.13,67.99,34.11,62.07,6.85,7.4,32.4,False
"September 23, 2024",18.71,70.58,34.26,57.76,8.87,7.46,32.46,False
"September 24, 2024",18.55,87.28,30.46,69.71,3.04,7.53,32.53,False
"September 25, 2024",30.47,68.41,33.56,60.72,5.2,7.65,32.65,False
"September 26, 2024",30.19,84.86,34.66,58.63,8.39,7.74,32.74,False
"September 27, 2024",24.04,83.72,33.09,65.23,7.17,7.85,32.85,False
"September 28, 2024",28.19,78.39,33.59,68.74,2.96,7.98,32.98,False
"September 29, 2024",23.27,80.38,31.59,58.2,9.82,8.08,33.08,False
"September 30, 2024",20.2,86.71,31.95,67.34,9.21,8.16,33.16,False
"October 1, 2024",22.36,88.07,34.6,52.54,6.79,8.26,33.26,False
"October 2, 2024",25.15,76.15,32.21,69.1,2.06,8.35,33.35,False
"October 3, 2024",30.09,82.42,33.32,62.39,7.77,8.45,33.45,False
"October 4, 2024",25.34,89.08,34.18,59.18,5.46,8.54,33.54,False
"October 5, 2024",21.71,84.5,34.94,53.56,2.91,8.62,33.62,False
"October 6, 2024",20.79,75.47,32.39,57.22,9.48,8.77,33.77,False
"October 7, 2024",18.43,85.58,33.35,61.01,0.59,8.87,33.87,False
"October 8, 2024",25.57,81.33,33.43,50.24,2.44,8.99,33.99,False
"October 9, 2024",21.44,77.49,32.74,61.02,6.93,9.05,34.05,False
"October 10, 2024",24.66,71.44,33.16,68.35,2.88,9.15,34.15,False
"October 11, 2024",20.03,73.01,32.0,63.77,4.19,9.28,34.28,False
"October 12, 2024",24.08,69.87,34.52,62.35,8.4,9.41,34.41,False
"October 13, 2024",19.9,89.33,31.58,55.03,8.96,9.54,34.54,False
"October 14, 2024",25.06,89.84,30.66,51.31,1.31,9.67,34.67,False
"October 15, 2024",22.11,85.11,32.35,67.65,3.81,9.79,34.79,False
"October 16, 2024",22.65,67.56,34.05,66.16,7.92,9.91,34.91,False
"October 17, 2024",30.55,66.66,33.56,65.5,4.26,10.04,35.04,False
"October 18, 2024",25.6,75.04,31.53,52.91,7.2,10.14,35.14,False
"October 19, 2024",29.54,67.24,32.65,54.02,8.59,10.22,35.22,False
"October 20, 2024",20.15,70.43,32.24,63.16,7.79,10.34,35.34,False
"October 21, 2024",18.87,78.46,34.63,59.53,4.93,10.41,35.41,False
"October 22, 2024",25.45,89.72,31.11,51.24,8.78,10.51,35.51,False
"October 23, 2024",27.14,74.07,33.76,69.73,0.98,10.6,35.6,False
"October 24, 2024",18.48,83.69,30.71,63.87,1.54,10.7,35.7,False
"October 25, 2024",26.71,84.92,33.46,60.18,3.42,10.82,35.82,False
"October 26, 2024",20.88,65.86,33.24,64.37,1.85,10.95,35.95,False
"October 27, 2024",30.46,65.91,31.48,66.09,9.14,11.07,36.07,False
"October 28, 2024",22.51,74.34,31.94,61.36,9.1,11.15,36.15,False
"October 29, 2024",26.66,67.67,34.09,69.03,1.07,11.29,36.29,False
"October 30, 2024",18.85,85.29,31.07,60.73,1.95,11.43,36.43,False
"October 31, 2024",19.52,65.23,33.51,69.14,4.32,11.54,36.54,False
"November 1, 2024",20.16,72.72,30.08,69.77,7.77,11.61,36.61,False
"November 2, 2024",30.25,68.47,31.83,69.13,4.32,11.67,36.67,False
"November 3, 2024",28.58,69.23,30.85,68.2,8.92,11.82,36.82,False
"November 4, 2024",24.25,80.7,34.07,59.15,5.74,11.93,36.93,False
"November 5, 2024",21.6,72.02,34.68,53.18,5.73,12.01,37.01,False
"November 6, 2024",29.75,80.75,30.67,56.76,3.98,12.1,37.1,False
"November 7, 2024",21.31,82.14,34.92,63.69,3.83,12.22,37.22,False
"November 8, 2024",20.61,71.16,32.6,62.89,7.99,12.36,37.36,False
"November 9, 2024",18.23,76.93,33.85,57.47,8.78,12.47,37.47,False
"November 10, 2024",21.24,88.14,33.48,59.56,8.62,12.59,37.59,False
"November 11, 2024",22.26,68.32,33.6,51.88,5.0,12.73,37.73,False
"November 12, 2024",22.23,69.01,30.01,62.86,5.08,12.81,37.81,False
"November 13, 2024",22.67,68.38,30.25,63.74,0.16,12.93,37.93,False
"November 14, 2024",26.88,69.65,34.68,68.3,2.67,13.05,38.05,False
"November 15, 2024",24.36,69.33,31.09,54.74,9.42,13.15,38.15,False
"November 16, 2024",28.08,71.19,32.97,65.97,7.76,13.26,38.26,False
"November 17, 2024",21.95,66.9,31.56,55.5,7.57,13.33,38.33,False
"November 18, 2024",25.48,68.87,33.78,52.53,0.48,13.45,38.45,False
"November 19, 2024",29.49,68.11,34.68,61.95,8.39,13.52,38.52,False
"November 20, 2024",21.59,67.32,32.21,63.46,8.17,13.58,38.58,False
"November 21, 2024",22.42,76.47,33.6,64.68,3.24,13.7,38.7,False
"November 22, 2024",26.38,68.89,33.9,60.8,0.83,13.81,38.81,False
"November 23, 2024",23.57,74.06,32.09,69.77,8.41,13.94,38.94,False
"November 24, 2024",20.74,70.04,32.03,57.98,4.1,14.08,39.08,False
"November 25, 2024",18.05,66.67,34.87,54.2,3.24,14.2,39.2,False
"November 26, 2024",28.65,86.62,31.08,64.75,7.72,14.34,39.34,False
"November 27, 2024",23.47,81.61,33.6,54.84,3.84,14.48,39.48,False
"November 28, 2024",20.39,73.42,30.84,54.74,2.69,14.6,39.6,False
"November 29, 2024",24.64,88.6,34.81,63.21,5.07,14.67,39.67,False
"November 30, 2024",22.45,78.12,31.39,51.72,8.55,14.79,39.79,False
"December 1, 2024",23.53,66.41,30.95,60.94,4.26,14.87,39.87,False
"December 2, 2024",30.04,88.05,33.97,68.9,7.88,14.95,39.95,False
"December 3, 2024",21.74,68.82,34.71,61.26,2.49,15.1,40.1,False
"December 4, 2024",26.99,83.91,31.26,57.66,0.15,15.19,40.19,False
"December 5, 2024",25.87,84.3,31.08,52.85,9.85,15.26,40.26,False
"December 6, 2024",23.47,78.53,32.97,54.87,8.32,15.39,40.39,False
"December 7, 2024",30.71,81.17,31.16,66.16,9.07,15.53,40.53,False
"December 8, 2024",21.99,77.6,33.26,63.61,3.23,15.6,40.6,False
"December 9, 2024",28.03,70.22,30.86,64.77,7.87,15.66,40.66,False
"December 10, 2024",26.84,70.25,34.83,64.22,3.89,15.75,40.75,False
"December 11, 2024",23.25,74.47,31.55,64.72,0.12,15.87,40.87,False
"December 12, 2024",27.44,65.98,33.73,60.18,0.81,16.01,41.01,False
"December 13, 2024",21.52,74.75,34.99,55.66,0.78,16.1,41.1,False
"December 14, 2024",21.28,81.86,33.79,62.71,1.86,16.21,41.21,False
"December 15, 2024",25.55,88.35,34.41,68.81,5.25,16.33,41.33,False
"December 16, 2024",22.92,78.06,31.33,51.34,8.41,16.39,41.39,False
"December 17, 2024",29.08,66.4,30.25,51.87,1.44,16.49,41.49,False
"December 18, 2024",24.66,88.29,32.29,52.17,1.51,16.61,41.61,False
"December 19, 2024",28.58,71.55,33.59,64.83,6.91,16.7,41.7,False
"December 20, 2024",30.7,76.92,33.43,60.54,9.33,16.82,41.82,False
